avg_latency_hops,avg_latency_hops_from_ms,avg_latency_ms,avg_latency_ms_from_hops,cache_hit_ratio,cache_policy,cache_size,catalog_items,data_tx,interest_iat_ms,interest_tx,link_delay_ms,nodes,processing_delay_ms,requests,seed,system,topology,workload,zipf_alpha
1.7533333333333334,1.7493939393939393,19.243333333333332,19.28666666666667,0.0,lru,0,200,226.0,1.0,226.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,0.8
2.0,2.0,22.0,22.0,0.0,none,0,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,0.8
1.5533333333333332,1.516969696969697,16.686666666666667,17.086666666666666,0.0,lru,0,200,166.0,1.0,166.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,1.2
2.0,2.0,22.0,22.0,0.0,none,0,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,1.2
1.6566666666666667,1.6712121212121211,18.383333333333333,18.223333333333333,0.06,lru,5,200,215.0,1.0,215.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,0.8
2.0,2.0,22.0,22.0,0.0,none,5,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,0.8
1.2433333333333334,1.2436363636363637,13.68,13.676666666666668,0.23666666666666666,lru,5,200,144.0,1.0,144.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,1.2
2.0,2.0,22.0,22.0,0.0,none,5,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,1.2
1.5466666666666666,1.5472727272727271,17.02,17.013333333333332,0.13,lru,10,200,203.0,1.0,203.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,0.8
2.0,2.0,22.0,22.0,0.0,none,10,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,0.8
1.0133333333333334,1.0021212121212122,11.023333333333333,11.146666666666668,0.41333333333333333,lru,10,200,128.0,1.0,128.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,1.2
2.0,2.0,22.0,22.0,0.0,none,10,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,1.2
1.27,1.2633333333333334,13.896666666666667,13.97,0.30333333333333334,lru,25,200,172.0,1.0,172.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,0.8
2.0,2.0,22.0,22.0,0.0,none,25,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,0.8
0.7266666666666667,0.7133333333333334,7.846666666666667,7.993333333333333,0.6,lru,25,200,98.0,1.0,98.0,10.0,12,1.0,300.0,42,ndn,mesh,zipf,1.2
2.0,2.0,22.0,22.0,0.0,none,25,200,300.0,1.0,300.0,10.0,12,1.0,300.0,42,ip,mesh,zipf,1.2
